unicode_codepoint,sign_name,count,percentage,cumulative_percentage
U+10747,LINEAR A SIGN A708 K,35,0.5219,79.4960
U+10640,LINEAR A SIGN AB079,32,0.4772,79.9732
U+10755,LINEAR A SIGN A732 JE,32,0.4772,80.4503
U+10621,LINEAR A SIGN AB038,31,0.4623,80.9126
U+10749,LINEAR A SIGN A709-2 L2,30,0.4474,81.3600
U+10635,LINEAR A SIGN AB061,29,0.4324,81.7924
U+10658,LINEAR A SIGN A304,28,0.4175,82.2100
U+10648,LINEAR A SIGN AB118,26,0.3877,82.5977
U+1064B,LINEAR A SIGN AB122,26,0.3877,82.9854
U+10656,LINEAR A SIGN A302,26,0.3877,83.3731
U+1062B,LINEAR A SIGN AB050,24,0.3579,83.7310
U+10719,LINEAR A SIGN A624,23,0.3430,84.0740
U+1070B,LINEAR A SIGN A610,22,0.3281,84.4020
U+1065A,LINEAR A SIGN A306,22,0.3281,84.7301
U+10623,LINEAR A SIGN AB040,22,0.3281,85.0582
U+10610,LINEAR A SIGN AB021F,22,0.3281,85.3862
U+106ED,LINEAR A SIGN A574,22,0.3281,85.7143
U+10713,LINEAR A SIGN A618,20,0.2982,86.0125
U+10659,LINEAR A SIGN A305,20,0.2982,86.3108
U+10717,LINEAR A SIGN A622,20,0.2982,86.6090
U+10744,LINEAR A SIGN A705 F,19,0.2833,86.8923
U+10740,LINEAR A SIGN A701 A,18,0.2684,87.1608
U+10653,LINEAR A SIGN AB188,17,0.2535,87.4143
U+10637,LINEAR A SIGN AB066,17,0.2535,87.6678
U+10604,LINEAR A SIGN AB005,17,0.2535,87.9213
U+10625,LINEAR A SIGN AB044,16,0.2386,88.1599
